customer_id,customer_name,industry,segment,risk_score,dispute_rate_12m,relationship_years,key_account
CUS-0046,Workshop Customer 046,Manufacturing,Strategic,0.4108,0.055,2.4,True
CUS-0047,Workshop Customer 047,Technology,Standard,0.745,0.1421,4.6,False
CUS-0048,Workshop Customer 048,Retail,Standard,0.5042,0.0757,5.2,False
CUS-0049,Workshop Customer 049,Manufacturing,Standard,0.4442,0.1007,2.4,False
CUS-0050,Workshop Customer 050,Healthcare,Standard,0.4529,0.0651,3.4,False
CUS-0051,Workshop Customer 051,Manufacturing,Core,0.3969,0.0584,4.1,False
CUS-0052,Workshop Customer 052,Retail,Standard,0.3504,0.0493,2.4,False
CUS-0053,Workshop Customer 053,Healthcare,Standard,0.4135,0.0841,8.1,False
CUS-0054,Workshop Customer 054,Manufacturing,Standard,0.4192,0.0593,6.5,False
CUS-0055,Workshop Customer 055,Government,Core,0.2898,0.0569,4.7,False
CUS-0056,Workshop Customer 056,Retail,Standard,0.3649,0.0802,1.3,False
CUS-0057,Workshop Customer 057,Manufacturing,Standard,0.0843,0.0326,9.6,False
CUS-0058,Workshop Customer 058,Government,Standard,0.4977,0.0874,2.7,False
CUS-0059,Workshop Customer 059,Technology,Strategic,0.5355,0.0781,6.9,True
CUS-0060,Workshop Customer 060,Technology,Core,0.3019,0.065,8.0,False
CUS-0061,Workshop Customer 061,Manufacturing,Strategic,0.05,0.0087,2.0,True
CUS-0062,Workshop Customer 062,Retail,Core,0.4064,0.0547,4.4,False
CUS-0063,Workshop Customer 063,Manufacturing,Standard,0.3375,0.072,2.3,False
CUS-0064,Workshop Customer 064,Healthcare,Core,0.8057,0.1692,6.4,False
CUS-0065,Workshop Customer 065,Retail,Strategic,0.4679,0.077,3.7,True
CUS-0066,Workshop Customer 066,Technology,Core,0.6209,0.0904,1.9,False
CUS-0067,Workshop Customer 067,Manufacturing,Standard,0.7991,0.1418,7.2,False
CUS-0068,Workshop Customer 068,Retail,Core,0.2603,0.0663,2.8,False
CUS-0069,Workshop Customer 069,Healthcare,Core,0.555,0.1016,8.6,False
CUS-0070,Workshop Customer 070,Manufacturing,Standard,0.2823,0.0397,3.8,False
CUS-0071,Workshop Customer 071,Manufacturing,Strategic,0.3786,0.1008,2.3,True
CUS-0072,Workshop Customer 072,Manufacturing,Core,0.141,0.0446,1.8,False
CUS-0073,Workshop Customer 073,Healthcare,Core,0.287,0.0538,6.0,False
CUS-0074,Workshop Customer 074,Retail,Core,0.6284,0.1203,2.5,False
CUS-0075,Workshop Customer 075,Manufacturing,Standard,0.4933,0.0841,9.0,False
CUS-0076,Workshop Customer 076,Retail,Core,0.5149,0.123,3.4,False
CUS-0077,Workshop Customer 077,Technology,Core,0.348,0.1261,2.4,False
CUS-0078,Workshop Customer 078,Retail,Strategic,0.3627,0.0908,8.8,True
CUS-0079,Workshop Customer 079,Retail,Standard,0.3879,0.0797,3.0,False
CUS-0080,Workshop Customer 080,Technology,Standard,0.4004,0.0774,1.7,False
CUS-0081,Workshop Customer 081,Manufacturing,Core,0.3072,0.0523,2.1,False
CUS-0082,Workshop Customer 082,Manufacturing,Core,0.4709,0.0797,15.3,False
CUS-0083,Workshop Customer 083,Manufacturing,Core,0.2838,0.0439,6.0,False
CUS-0084,Workshop Customer 084,Manufacturing,Core,0.642,0.0978,8.1,False
CUS-0085,Workshop Customer 085,Manufacturing,Core,0.1862,0.0572,3.2,False
CUS-0086,Workshop Customer 086,Technology,Core,0.7096,0.1172,6.4,False
CUS-0087,Workshop Customer 087,Technology,Standard,0.402,0.122,2.4,False
CUS-0088,Workshop Customer 088,Manufacturing,Standard,0.1253,0.0575,8.0,False
CUS-0089,Workshop Customer 089,Government,Standard,0.2166,0.0262,0.8,False
CUS-0090,Workshop Customer 090,Manufacturing,Strategic,0.6808,0.1167,1.4,True
CUS-0091,Workshop Customer 091,Government,Standard,0.1867,0.0,0.3,False
CUS-0092,Workshop Customer 092,Manufacturing,Standard,0.2271,0.0395,2.0,False
CUS-0093,Workshop Customer 093,Technology,Standard,0.659,0.1063,4.4,False
CUS-0094,Workshop Customer 094,Manufacturing,Core,0.471,0.0854,9.4,False
CUS-0095,Workshop Customer 095,Healthcare,Strategic,0.2735,0.0122,2.2,True
CUS-0096,Workshop Customer 096,Technology,Core,0.3914,0.1018,5.4,False
CUS-0097,Workshop Customer 097,Technology,Core,0.5872,0.1123,7.2,False
CUS-0098,Workshop Customer 098,Government,Standard,0.7848,0.1465,2.3,False
CUS-0099,Workshop Customer 099,Technology,Core,0.646,0.1338,5.1,False
CUS-0100,Workshop Customer 100,Government,Core,0.2182,0.0284,2.8,False
CUS-0101,Workshop Customer 101,Manufacturing,Strategic,0.1631,0.0389,2.6,True
CUS-0102,Workshop Customer 102,Manufacturing,Core,0.757,0.1306,4.2,False
CUS-0103,Workshop Customer 103,Manufacturing,Core,0.8287,0.1229,1.5,False
CUS-0104,Workshop Customer 104,Technology,Core,0.1341,0.07,3.9,False
CUS-0105,Workshop Customer 105,Manufacturing,Core,0.459,0.0817,7.6,False
CUS-0106,Workshop Customer 106,Manufacturing,Core,0.8001,0.1426,1.6,False
CUS-0107,Workshop Customer 107,Healthcare,Strategic,0.7468,0.098,3.1,True
CUS-0108,Workshop Customer 108,Manufacturing,Core,0.3261,0.0747,3.8,False
CUS-0109,Workshop Customer 109,Government,Standard,0.3631,0.0366,3.5,False
CUS-0110,Workshop Customer 110,Government,Core,0.599,0.0503,1.2,False
CUS-0111,Workshop Customer 111,Technology,Standard,0.2442,0.0483,5.4,False
CUS-0112,Workshop Customer 112,Retail,Standard,0.2937,0.047,1.6,False
CUS-0113,Workshop Customer 113,Manufacturing,Core,0.2042,0.0301,8.3,False
CUS-0114,Workshop Customer 114,Healthcare,Standard,0.8692,0.1322,3.5,False
CUS-0115,Workshop Customer 115,Retail,Strategic,0.8339,0.1504,3.6,True
CUS-0116,Workshop Customer 116,Technology,Standard,0.83,0.156,1.2,False
CUS-0117,Workshop Customer 117,Manufacturing,Standard,0.0934,0.0405,10.3,False
CUS-0118,Workshop Customer 118,Technology,Core,0.2227,0.0897,1.9,False
CUS-0119,Workshop Customer 119,Manufacturing,Standard,0.6571,0.1649,2.8,False
CUS-0120,Workshop Customer 120,Retail,Core,0.2749,0.0261,0.4,False
CUS-0121,Workshop Customer 121,Retail,Core,0.4887,0.0629,12.1,False
CUS-0122,Workshop Customer 122,Government,Strategic,0.2019,0.0388,3.5,True
CUS-0123,Workshop Customer 123,Healthcare,Standard,0.2569,0.0869,13.5,False
CUS-0124,Workshop Customer 124,Technology,Strategic,0.8502,0.1795,6.9,True
CUS-0125,Workshop Customer 125,Manufacturing,Standard,0.4469,0.0851,2.4,False
CUS-0126,Workshop Customer 126,Manufacturing,Core,0.881,0.1644,5.4,False
CUS-0127,Workshop Customer 127,Healthcare,Standard,0.3815,0.0338,3.3,False
CUS-0128,Workshop Customer 128,Technology,Standard,0.5365,0.1084,6.9,False
CUS-0129,Workshop Customer 129,Government,Standard,0.1438,0.0699,2.2,False
CUS-0130,Workshop Customer 130,Healthcare,Standard,0.1016,0.0568,1.4,False
CUS-0131,Workshop Customer 131,Manufacturing,Standard,0.6096,0.0947,6.9,False
CUS-0132,Workshop Customer 132,Retail,Standard,0.3344,0.0805,2.6,False
CUS-0133,Workshop Customer 133,Healthcare,Core,0.2515,0.0523,5.7,False
CUS-0134,Workshop Customer 134,Technology,Core,0.2503,0.026,10.9,False
CUS-0135,Workshop Customer 135,Manufacturing,Strategic,0.6166,0.1279,6.8,True
CUS-0136,Workshop Customer 136,Healthcare,Standard,0.5629,0.0994,5.8,False
CUS-0137,Workshop Customer 137,Retail,Standard,0.105,0.0158,3.9,False
CUS-0138,Workshop Customer 138,Healthcare,Standard,0.8378,0.1558,3.0,False
CUS-0139,Workshop Customer 139,Manufacturing,Standard,0.2179,0.0663,5.6,False
CUS-0140,Workshop Customer 140,Manufacturing,Strategic,0.1562,0.0351,10.1,True
CUS-0141,Workshop Customer 141,Retail,Core,0.3434,0.0972,1.2,False
CUS-0142,Workshop Customer 142,Manufacturing,Standard,0.567,0.1155,5.6,False
CUS-0143,Workshop Customer 143,Government,Standard,0.2774,0.0734,2.4,False
CUS-0144,Workshop Customer 144,Retail,Standard,0.2378,0.0452,2.5,False
CUS-0145,Workshop Customer 145,Healthcare,Core,0.4707,0.0518,4.1,False
CUS-0146,Workshop Customer 146,Healthcare,Standard,0.6703,0.1222,4.5,False
CUS-0147,Workshop Customer 147,Retail,Standard,0.2263,0.0248,3.6,False
CUS-0148,Workshop Customer 148,Technology,Core,0.3002,0.0394,9.1,False
CUS-0149,Workshop Customer 149,Manufacturing,Strategic,0.5732,0.0936,3.8,True
CUS-0150,Workshop Customer 150,Government,Standard,0.2597,0.0598,1.4,False
CUS-0151,Workshop Customer 151,Manufacturing,Standard,0.4509,0.0623,4.7,False
CUS-0152,Workshop Customer 152,Retail,Core,0.5762,0.0972,2.0,False
CUS-0153,Workshop Customer 153,Healthcare,Standard,0.5766,0.0927,7.0,False
CUS-0154,Workshop Customer 154,Manufacturing,Core,0.4611,0.0338,3.1,False
CUS-0155,Workshop Customer 155,Manufacturing,Standard,0.3473,0.093,9.5,False
CUS-0156,Workshop Customer 156,Healthcare,Core,0.3153,0.0703,6.7,False
CUS-0157,Workshop Customer 157,Manufacturing,Strategic,0.0592,0.0065,2.1,True
CUS-0158,Workshop Customer 158,Manufacturing,Strategic,0.6193,0.1009,5.1,True
CUS-0159,Workshop Customer 159,Manufacturing,Strategic,0.7574,0.168,3.9,True
CUS-0160,Workshop Customer 160,Healthcare,Standard,0.2216,0.0488,5.5,False
