invoice_id,customer_id,invoice_date,due_date,amount_usd,payment_terms_days,status
HIST-000056,CUS-0101,2025-07-27,2025-09-25,23249.08,60,paid
HIST-000057,CUS-0026,2026-02-16,2026-03-18,171168.34,30,paid
HIST-000058,CUS-0034,2026-04-20,2026-05-20,21393.84,30,paid
HIST-000059,CUS-0101,2025-05-12,2025-06-11,157061.29,30,paid
HIST-000060,CUS-0091,2025-04-16,2025-05-16,35724.47,30,paid
HIST-000061,CUS-0121,2026-03-11,2026-04-10,29241.84,30,paid
HIST-000062,CUS-0081,2025-05-19,2025-06-03,25401.88,15,paid
HIST-000063,CUS-0115,2025-04-01,2025-05-01,73028.86,30,paid
HIST-000064,CUS-0059,2025-09-07,2025-11-06,53639.58,60,paid
HIST-000065,CUS-0024,2026-04-15,2026-05-30,63069.97,45,paid
HIST-000066,CUS-0135,2026-02-11,2026-03-13,78453.74,30,paid
HIST-000067,CUS-0148,2025-03-23,2025-04-07,62549.98,15,paid
HIST-000068,CUS-0101,2025-04-16,2025-05-31,42906.84,45,paid
HIST-000069,CUS-0006,2026-01-07,2026-02-21,24710.56,45,paid
HIST-000070,CUS-0117,2026-02-22,2026-03-24,45979.07,30,paid
HIST-000071,CUS-0008,2025-09-02,2025-10-17,21090.83,45,paid
HIST-000072,CUS-0041,2025-12-14,2026-01-13,73757.6,30,paid
HIST-000073,CUS-0040,2025-03-24,2025-04-23,38690.01,30,paid
HIST-000074,CUS-0072,2025-08-17,2025-09-16,200651.01,30,paid
HIST-000075,CUS-0129,2025-12-06,2025-12-21,40295.97,15,paid
HIST-000076,CUS-0138,2025-05-06,2025-06-20,37947.73,45,paid
HIST-000077,CUS-0127,2025-10-31,2025-12-15,34046.95,45,paid
HIST-000078,CUS-0069,2025-05-06,2025-06-05,30321.6,30,paid
HIST-000079,CUS-0068,2026-03-15,2026-04-14,77306.62,30,paid
HIST-000080,CUS-0064,2025-05-14,2025-06-13,55795.27,30,paid
HIST-000081,CUS-0026,2025-11-03,2025-12-03,38718.94,30,paid
HIST-000082,CUS-0059,2026-01-14,2026-02-13,63251.41,30,paid
HIST-000083,CUS-0043,2026-03-09,2026-05-08,53365.64,60,paid
HIST-000084,CUS-0032,2025-04-25,2025-05-25,30328.98,30,paid
HIST-000085,CUS-0029,2025-08-25,2025-09-24,33192.09,30,paid
HIST-000086,CUS-0122,2026-04-18,2026-05-18,25957.51,30,paid
HIST-000087,CUS-0020,2025-05-06,2025-06-20,105777.94,45,paid
HIST-000088,CUS-0102,2026-01-08,2026-02-22,48371.78,45,paid
HIST-000089,CUS-0075,2025-03-14,2025-04-13,153404.91,30,paid
HIST-000090,CUS-0007,2025-03-24,2025-04-23,128098.8,30,paid
HIST-000091,CUS-0051,2025-10-17,2025-11-16,30399.53,30,paid
HIST-000092,CUS-0072,2025-06-11,2025-07-26,172777.22,45,paid
HIST-000093,CUS-0081,2026-04-11,2026-04-26,118592.61,15,paid
HIST-000094,CUS-0158,2026-03-09,2026-04-23,24390.98,45,paid
HIST-000095,CUS-0134,2026-04-06,2026-05-21,179540.64,45,paid
HIST-000096,CUS-0009,2025-11-29,2026-01-13,5217.45,45,paid
HIST-000097,CUS-0085,2025-07-04,2025-08-18,32208.88,45,paid
HIST-000098,CUS-0122,2025-05-03,2025-07-02,66701.08,60,paid
HIST-000099,CUS-0085,2025-05-10,2025-06-09,12297.44,30,paid
HIST-000100,CUS-0061,2026-01-29,2026-02-28,71657.99,30,paid
HIST-000101,CUS-0115,2026-02-21,2026-04-07,8115.1,45,paid
HIST-000102,CUS-0048,2026-03-10,2026-04-09,63586.32,30,paid
HIST-000103,CUS-0125,2025-11-19,2026-01-18,256310.62,60,paid
HIST-000104,CUS-0008,2026-03-31,2026-04-30,58942.78,30,paid
HIST-000105,CUS-0030,2025-07-06,2025-08-20,30333.67,45,paid
HIST-000106,CUS-0121,2025-04-30,2025-05-30,119006.37,30,paid
HIST-000107,CUS-0072,2025-03-17,2025-04-16,102665.64,30,paid
HIST-000108,CUS-0032,2026-04-23,2026-05-23,73252.64,30,paid
HIST-000109,CUS-0101,2025-03-29,2025-05-13,72816.87,45,paid
HIST-000110,CUS-0078,2026-02-25,2026-03-27,29049.8,30,paid
HIST-000111,CUS-0066,2025-03-22,2025-04-21,24227.62,30,paid
HIST-000112,CUS-0113,2025-12-12,2025-12-27,36095.67,15,paid
HIST-000113,CUS-0083,2026-04-06,2026-06-05,23164.08,60,paid
HIST-000114,CUS-0149,2026-04-26,2026-05-26,52541.19,30,paid
HIST-000115,CUS-0107,2025-12-13,2026-01-27,19443.82,45,paid
HIST-000116,CUS-0005,2025-10-06,2025-11-05,118767.71,30,paid
HIST-000117,CUS-0160,2026-03-29,2026-05-13,43269.73,45,paid
HIST-000118,CUS-0088,2025-07-13,2025-08-12,23216.81,30,paid
HIST-000119,CUS-0055,2025-03-25,2025-04-24,40579.56,30,paid
HIST-000120,CUS-0082,2025-12-24,2026-02-07,52203.14,45,paid
HIST-000121,CUS-0158,2026-05-20,2026-06-19,131008.57,30,paid
HIST-000122,CUS-0056,2025-03-14,2025-04-28,12240.19,45,paid
HIST-000123,CUS-0047,2025-11-20,2025-12-20,66742.07,30,paid
HIST-000124,CUS-0144,2026-03-24,2026-04-23,17328.56,30,paid
HIST-000125,CUS-0115,2026-03-26,2026-05-10,85883.03,45,paid
HIST-000126,CUS-0103,2026-03-07,2026-04-21,45129.98,45,paid
HIST-000127,CUS-0008,2026-03-02,2026-04-16,48424.87,45,paid
HIST-000128,CUS-0016,2026-01-31,2026-03-17,77556.84,45,paid
HIST-000129,CUS-0073,2025-07-11,2025-08-10,24920.19,30,paid
HIST-000130,CUS-0048,2025-05-26,2025-06-10,27606.43,15,paid
HIST-000131,CUS-0061,2026-02-12,2026-03-14,55800.0,30,paid
HIST-000132,CUS-0051,2025-06-23,2025-07-23,120175.66,30,paid
HIST-000133,CUS-0117,2026-02-08,2026-02-23,203815.12,15,paid
HIST-000134,CUS-0037,2026-01-31,2026-03-02,24938.84,30,paid
HIST-000135,CUS-0046,2025-05-09,2025-06-23,42819.41,45,paid
HIST-000136,CUS-0136,2025-06-22,2025-07-22,24704.99,30,paid
HIST-000137,CUS-0006,2025-05-24,2025-07-08,19400.74,45,paid
HIST-000138,CUS-0005,2026-03-18,2026-04-17,18977.89,30,paid
HIST-000139,CUS-0061,2025-06-23,2025-08-07,143747.26,45,paid
HIST-000140,CUS-0105,2025-04-12,2025-05-27,41823.72,45,paid
HIST-000141,CUS-0101,2026-03-06,2026-04-05,30587.93,30,paid
HIST-000142,CUS-0077,2025-11-16,2025-12-31,15622.65,45,paid
HIST-000143,CUS-0048,2025-11-23,2025-12-23,49892.23,30,paid
HIST-000144,CUS-0067,2026-03-19,2026-04-18,15588.91,30,paid
HIST-000145,CUS-0149,2025-06-04,2025-07-04,105383.9,30,paid
HIST-000146,CUS-0065,2025-08-28,2025-09-27,24365.76,30,paid
HIST-000147,CUS-0144,2026-03-21,2026-05-05,29316.42,45,paid
HIST-000148,CUS-0028,2026-05-09,2026-07-08,151244.73,60,paid
HIST-000149,CUS-0034,2026-05-15,2026-07-14,90371.17,60,paid
HIST-000150,CUS-0003,2025-04-17,2025-06-01,29436.16,45,paid
HIST-000151,CUS-0009,2026-03-30,2026-04-29,109212.54,30,paid
HIST-000152,CUS-0074,2025-09-15,2025-10-15,10647.44,30,paid
HIST-000153,CUS-0071,2026-03-21,2026-04-20,57572.65,30,paid
HIST-000154,CUS-0019,2025-12-21,2026-02-04,115571.39,45,paid
HIST-000155,CUS-0024,2025-06-26,2025-07-11,7305.81,15,paid
HIST-000156,CUS-0073,2026-04-17,2026-05-17,40940.78,30,paid
HIST-000157,CUS-0042,2025-09-24,2025-10-24,37131.53,30,paid
HIST-000158,CUS-0115,2026-05-23,2026-06-22,26373.19,30,paid
HIST-000159,CUS-0126,2025-08-12,2025-09-11,81791.86,30,paid
HIST-000160,CUS-0006,2025-06-25,2025-08-09,31545.22,45,paid
HIST-000161,CUS-0145,2025-04-27,2025-05-12,50182.99,15,paid
HIST-000162,CUS-0003,2025-12-22,2026-02-05,47010.91,45,paid
HIST-000163,CUS-0069,2025-08-20,2025-09-19,17780.99,30,paid
HIST-000164,CUS-0056,2026-02-19,2026-03-21,23888.63,30,paid
HIST-000165,CUS-0030,2025-05-29,2025-07-13,42474.21,45,paid
HIST-000166,CUS-0014,2025-04-03,2025-04-18,74925.44,15,paid
HIST-000167,CUS-0006,2026-03-02,2026-04-01,83424.67,30,paid
HIST-000168,CUS-0001,2026-03-16,2026-04-15,120476.91,30,paid
HIST-000169,CUS-0005,2025-04-11,2025-05-11,51592.53,30,paid
HIST-000170,CUS-0028,2026-01-08,2026-02-07,87079.62,30,paid
HIST-000171,CUS-0055,2025-06-22,2025-07-22,194070.9,30,paid
HIST-000172,CUS-0116,2026-05-28,2026-07-27,70731.07,60,paid
HIST-000173,CUS-0056,2025-09-23,2025-11-07,35584.33,45,paid
HIST-000174,CUS-0001,2025-04-17,2025-06-01,74961.59,45,paid
HIST-000175,CUS-0109,2025-04-13,2025-05-13,22601.32,30,paid
HIST-000176,CUS-0065,2025-06-04,2025-07-19,57608.53,45,paid
HIST-000177,CUS-0077,2025-07-23,2025-08-07,50636.61,15,paid
HIST-000178,CUS-0132,2025-10-21,2025-12-05,12589.88,45,paid
HIST-000179,CUS-0134,2025-06-23,2025-07-23,13759.07,30,paid
HIST-000180,CUS-0101,2026-04-14,2026-05-14,50278.34,30,paid
HIST-000181,CUS-0103,2026-03-21,2026-04-20,41031.78,30,paid
HIST-000182,CUS-0019,2025-06-29,2025-08-13,14294.75,45,paid
HIST-000183,CUS-0049,2025-03-18,2025-04-17,13551.57,30,paid
HIST-000184,CUS-0103,2025-05-28,2025-06-12,32066.14,15,paid
HIST-000185,CUS-0027,2025-04-18,2025-05-18,56961.84,30,paid
HIST-000186,CUS-0037,2025-10-11,2025-11-10,45286.89,30,paid
HIST-000187,CUS-0060,2025-11-20,2025-12-20,65612.47,30,paid
HIST-000188,CUS-0085,2025-12-20,2026-02-03,70795.78,45,paid
HIST-000189,CUS-0092,2026-04-10,2026-05-25,55002.47,45,paid
HIST-000190,CUS-0112,2025-07-17,2025-08-16,62620.02,30,paid
HIST-000191,CUS-0036,2025-05-06,2025-06-05,38037.42,30,paid
HIST-000192,CUS-0083,2025-11-13,2025-12-28,6858.92,45,paid
HIST-000193,CUS-0071,2025-04-15,2025-05-15,99611.35,30,paid
HIST-000194,CUS-0004,2025-04-09,2025-05-09,26343.11,30,paid
HIST-000195,CUS-0158,2025-10-31,2025-12-15,11873.78,45,paid
HIST-000196,CUS-0107,2025-06-23,2025-08-22,142487.79,60,paid
HIST-000197,CUS-0090,2025-11-01,2025-12-01,27788.08,30,paid
HIST-000198,CUS-0061,2026-04-20,2026-05-20,65766.97,30,paid
HIST-000199,CUS-0059,2025-10-01,2025-11-15,37155.35,45,paid
HIST-000200,CUS-0075,2025-04-11,2025-05-26,109687.52,45,paid
HIST-000201,CUS-0002,2025-08-12,2025-09-11,36466.15,30,paid
HIST-000202,CUS-0035,2025-11-15,2025-12-15,35913.76,30,paid
HIST-000203,CUS-0155,2025-08-06,2025-09-05,23936.27,30,paid
HIST-000204,CUS-0061,2025-10-30,2025-11-29,105967.71,30,paid
HIST-000205,CUS-0084,2026-01-10,2026-02-09,79994.99,30,paid
HIST-000206,CUS-0029,2025-10-19,2025-11-18,54637.58,30,paid
HIST-000207,CUS-0034,2025-06-24,2025-07-09,32992.4,15,paid
HIST-000208,CUS-0033,2026-02-16,2026-04-02,78664.91,45,paid
HIST-000209,CUS-0033,2025-08-10,2025-08-25,46533.53,15,paid
HIST-000210,CUS-0135,2025-09-06,2025-10-21,41290.63,45,paid
HIST-000211,CUS-0070,2026-05-12,2026-06-11,44087.42,30,paid
HIST-000212,CUS-0002,2025-11-03,2025-12-03,45095.42,30,paid
HIST-000213,CUS-0079,2025-06-03,2025-07-18,18002.36,45,paid
HIST-000214,CUS-0036,2025-11-20,2026-01-04,58069.81,45,paid
HIST-000215,CUS-0111,2026-05-12,2026-06-11,20497.6,30,paid
HIST-000216,CUS-0095,2025-03-28,2025-04-27,15718.06,30,paid
HIST-000217,CUS-0098,2025-07-24,2025-09-07,14989.19,45,paid
HIST-000218,CUS-0053,2025-09-11,2025-11-10,14519.19,60,paid
HIST-000219,CUS-0110,2026-01-14,2026-02-28,149153.39,45,paid
HIST-000220,CUS-0160,2025-04-28,2025-06-27,42355.99,60,paid
HIST-000221,CUS-0086,2025-06-04,2025-07-04,57138.47,30,paid
HIST-000222,CUS-0103,2025-05-01,2025-05-16,91563.43,15,paid
HIST-000223,CUS-0156,2025-08-08,2025-09-22,28455.96,45,paid
HIST-000224,CUS-0052,2026-04-23,2026-06-07,87719.09,45,paid
HIST-000225,CUS-0085,2025-07-23,2025-08-22,69091.92,30,paid
HIST-000226,CUS-0102,2026-05-21,2026-06-20,45615.88,30,paid
HIST-000227,CUS-0096,2025-08-10,2025-09-24,18044.98,45,paid
HIST-000228,CUS-0085,2025-09-03,2025-10-03,43959.73,30,paid
HIST-000229,CUS-0054,2026-04-28,2026-05-28,33088.88,30,paid
HIST-000230,CUS-0140,2026-06-01,2026-07-01,63552.17,30,paid
HIST-000231,CUS-0061,2025-12-15,2026-01-14,32858.57,30,paid
HIST-000232,CUS-0140,2026-03-25,2026-04-24,75706.61,30,paid
HIST-000233,CUS-0012,2025-08-06,2025-10-05,249390.85,60,paid
HIST-000234,CUS-0009,2026-02-14,2026-03-16,26109.16,30,paid
HIST-000235,CUS-0107,2026-04-02,2026-05-17,5360.86,45,paid
HIST-000236,CUS-0077,2025-12-21,2026-01-20,15499.58,30,paid
HIST-000237,CUS-0010,2026-02-12,2026-03-14,138129.48,30,paid
HIST-000238,CUS-0008,2025-12-19,2026-01-18,29298.66,30,paid
HIST-000239,CUS-0112,2025-07-17,2025-08-16,22749.49,30,paid
HIST-000240,CUS-0019,2025-11-15,2025-12-30,10075.1,45,paid
HIST-000241,CUS-0041,2025-08-23,2025-09-22,10117.88,30,paid
HIST-000242,CUS-0143,2025-09-21,2025-10-21,16260.38,30,paid
HIST-000243,CUS-0021,2026-04-03,2026-05-03,86081.3,30,paid
HIST-000244,CUS-0044,2025-04-23,2025-06-22,26924.72,60,paid
HIST-000245,CUS-0040,2025-08-27,2025-10-11,34308.51,45,paid
HIST-000246,CUS-0062,2025-12-08,2026-01-07,18844.4,30,paid
HIST-000247,CUS-0052,2025-06-10,2025-07-25,17223.03,45,paid
HIST-000248,CUS-0112,2025-03-31,2025-04-15,21046.93,15,paid
HIST-000249,CUS-0140,2025-08-06,2025-09-05,8515.04,30,paid
HIST-000250,CUS-0138,2025-12-11,2026-01-25,140574.89,45,paid
HIST-000251,CUS-0037,2025-09-19,2025-11-03,56029.45,45,paid
HIST-000252,CUS-0022,2025-09-28,2025-10-28,67237.22,30,paid
HIST-000253,CUS-0144,2025-08-17,2025-09-16,25303.36,30,paid
HIST-000254,CUS-0102,2025-04-04,2025-05-04,196909.16,30,paid
HIST-000255,CUS-0064,2025-08-17,2025-09-16,13219.95,30,paid
HIST-000256,CUS-0120,2025-04-22,2025-06-21,56122.96,60,paid
HIST-000257,CUS-0090,2025-09-02,2025-09-17,20782.24,15,paid
HIST-000258,CUS-0084,2025-09-02,2025-10-17,64573.35,45,paid
HIST-000259,CUS-0095,2025-06-12,2025-08-11,40548.77,60,paid
HIST-000260,CUS-0033,2025-04-19,2025-06-18,29387.07,60,paid
HIST-000261,CUS-0036,2025-12-28,2026-01-27,123064.19,30,paid
HIST-000262,CUS-0065,2025-05-29,2025-07-13,17859.39,45,paid
HIST-000263,CUS-0019,2025-11-10,2025-12-10,14058.71,30,paid
HIST-000264,CUS-0048,2026-03-22,2026-04-21,46642.61,30,paid
HIST-000265,CUS-0124,2025-11-27,2026-01-26,24902.41,60,paid
HIST-000266,CUS-0055,2026-01-04,2026-02-03,34370.85,30,paid
HIST-000267,CUS-0061,2025-09-29,2025-10-29,16078.79,30,paid
HIST-000268,CUS-0138,2026-03-20,2026-04-19,21453.12,30,paid
HIST-000269,CUS-0059,2026-01-04,2026-02-03,16100.4,30,paid
HIST-000270,CUS-0017,2025-12-02,2026-01-01,32927.07,30,paid
HIST-000271,CUS-0154,2026-01-10,2026-01-25,27069.59,15,paid
HIST-000272,CUS-0055,2026-01-21,2026-02-20,62214.21,30,paid
HIST-000273,CUS-0063,2025-04-14,2025-05-14,20829.21,30,paid
HIST-000274,CUS-0101,2026-05-29,2026-06-28,142876.62,30,paid
HIST-000275,CUS-0126,2025-11-04,2025-12-19,41388.85,45,paid
HIST-000276,CUS-0098,2026-04-25,2026-06-09,104061.92,45,paid
HIST-000277,CUS-0060,2026-04-24,2026-06-08,26553.8,45,paid
HIST-000278,CUS-0091,2026-01-15,2026-02-14,47296.48,30,paid
HIST-000279,CUS-0026,2025-04-27,2025-06-11,29554.46,45,paid
HIST-000280,CUS-0016,2025-06-25,2025-08-24,40813.94,60,paid
HIST-000281,CUS-0093,2025-12-20,2026-02-18,9121.94,60,paid
HIST-000282,CUS-0057,2025-04-09,2025-05-09,15329.74,30,paid
HIST-000283,CUS-0095,2026-05-21,2026-07-05,30086.84,45,paid
HIST-000284,CUS-0037,2025-09-21,2025-11-20,60090.65,60,paid
HIST-000285,CUS-0122,2026-05-14,2026-06-13,99628.15,30,paid
HIST-000286,CUS-0046,2026-01-30,2026-03-01,79112.26,30,paid
HIST-000287,CUS-0034,2025-09-16,2025-10-31,240072.31,45,paid
HIST-000288,CUS-0114,2025-09-03,2025-10-03,37559.64,30,paid
HIST-000289,CUS-0069,2025-09-21,2025-10-21,26104.12,30,paid
HIST-000290,CUS-0085,2025-12-14,2026-01-13,56435.64,30,paid
HIST-000291,CUS-0006,2025-09-25,2025-10-25,21290.47,30,paid
HIST-000292,CUS-0026,2025-08-21,2025-09-20,58100.57,30,paid
HIST-000293,CUS-0033,2025-10-11,2025-11-25,24964.29,45,paid
HIST-000294,CUS-0135,2025-07-12,2025-08-26,31227.19,45,paid
HIST-000295,CUS-0061,2025-10-17,2025-11-16,33001.12,30,paid
HIST-000296,CUS-0044,2025-05-16,2025-06-15,39065.53,30,paid
HIST-000297,CUS-0114,2025-05-03,2025-06-02,31655.35,30,paid
HIST-000298,CUS-0061,2025-03-31,2025-05-30,31364.81,60,paid
HIST-000299,CUS-0029,2025-08-09,2025-09-23,126427.1,45,paid
HIST-000300,CUS-0067,2026-03-24,2026-05-08,4581.9,45,paid
HIST-000301,CUS-0079,2025-07-13,2025-08-12,20940.97,30,paid
HIST-000302,CUS-0033,2025-05-10,2025-06-24,44885.35,45,paid
HIST-000303,CUS-0030,2025-04-21,2025-05-21,59928.64,30,paid
HIST-000304,CUS-0056,2025-03-23,2025-05-07,72620.53,45,paid
HIST-000305,CUS-0108,2026-03-15,2026-04-14,13984.2,30,paid
HIST-000306,CUS-0091,2026-02-06,2026-02-21,17667.85,15,paid
HIST-000307,CUS-0056,2025-04-28,2025-06-27,20822.5,60,paid
HIST-000308,CUS-0102,2025-05-16,2025-06-15,212027.9,30,paid
HIST-000309,CUS-0004,2025-04-15,2025-05-15,42541.27,30,paid
HIST-000310,CUS-0046,2025-05-02,2025-06-01,56589.58,30,paid
HIST-000311,CUS-0045,2025-07-11,2025-08-10,32049.42,30,paid
HIST-000312,CUS-0044,2025-11-02,2025-12-02,12298.2,30,paid
HIST-000313,CUS-0101,2026-02-05,2026-03-22,32286.6,45,paid
HIST-000314,CUS-0059,2025-08-10,2025-09-24,79593.4,45,paid
HIST-000315,CUS-0087,2025-08-12,2025-09-26,51819.47,45,paid
HIST-000316,CUS-0083,2025-06-30,2025-07-30,64989.71,30,paid
HIST-000317,CUS-0004,2026-01-26,2026-02-10,23871.47,15,paid
HIST-000318,CUS-0097,2026-02-24,2026-04-10,18092.82,45,paid
HIST-000319,CUS-0062,2026-05-09,2026-06-08,124621.52,30,paid
HIST-000320,CUS-0104,2026-01-05,2026-02-04,42436.35,30,paid
HIST-000321,CUS-0051,2026-04-15,2026-05-15,12538.18,30,paid
HIST-000322,CUS-0159,2025-06-26,2025-08-10,23097.89,45,paid
HIST-000323,CUS-0069,2025-04-19,2025-06-03,29409.77,45,paid
HIST-000324,CUS-0034,2025-06-28,2025-07-28,124468.29,30,paid
HIST-000325,CUS-0109,2025-08-08,2025-10-07,187429.36,60,paid
HIST-000326,CUS-0117,2025-09-06,2025-10-06,19657.6,30,paid
HIST-000327,CUS-0055,2026-02-05,2026-03-22,96905.54,45,paid
HIST-000328,CUS-0093,2025-09-14,2025-10-14,35024.68,30,paid
HIST-000329,CUS-0138,2026-02-27,2026-04-13,241895.17,45,paid
HIST-000330,CUS-0096,2025-09-22,2025-10-22,146511.7,30,paid
HIST-000331,CUS-0069,2025-03-26,2025-05-10,19879.44,45,paid
HIST-000332,CUS-0072,2026-04-18,2026-06-17,85601.8,60,paid
HIST-000333,CUS-0099,2025-05-15,2025-06-29,52384.08,45,paid
HIST-000334,CUS-0064,2026-02-15,2026-04-01,81046.24,45,paid
HIST-000335,CUS-0089,2026-01-02,2026-02-01,96132.62,30,paid
HIST-000336,CUS-0083,2025-06-30,2025-08-29,89249.81,60,paid
HIST-000337,CUS-0095,2026-02-01,2026-03-03,50541.59,30,paid
HIST-000338,CUS-0066,2025-12-27,2026-01-26,53778.23,30,paid
HIST-000339,CUS-0081,2025-04-30,2025-06-14,130756.72,45,paid
HIST-000340,CUS-0012,2025-09-13,2025-10-13,32171.34,30,paid
HIST-000341,CUS-0157,2026-03-23,2026-04-07,114707.92,15,paid
HIST-000342,CUS-0098,2025-04-09,2025-05-09,22904.34,30,paid
HIST-000343,CUS-0036,2026-01-17,2026-03-03,59610.14,45,paid
HIST-000344,CUS-0007,2025-06-06,2025-07-21,18791.95,45,paid
HIST-000345,CUS-0002,2025-07-14,2025-08-13,64767.86,30,paid
HIST-000346,CUS-0012,2026-01-04,2026-02-03,154104.78,30,paid
HIST-000347,CUS-0098,2025-04-14,2025-05-14,8701.36,30,paid
HIST-000348,CUS-0132,2025-11-10,2025-11-25,26265.9,15,paid
HIST-000349,CUS-0081,2025-09-02,2025-10-17,46727.53,45,paid
HIST-000350,CUS-0010,2025-12-21,2026-02-04,6447.02,45,paid
HIST-000351,CUS-0141,2025-11-08,2025-12-08,51892.96,30,paid
HIST-000352,CUS-0072,2026-05-20,2026-07-04,7728.21,45,paid
HIST-000353,CUS-0042,2025-06-19,2025-07-19,162947.16,30,paid
HIST-000354,CUS-0002,2026-01-11,2026-01-26,28921.05,15,paid
HIST-000355,CUS-0064,2026-02-12,2026-03-29,73401.94,45,paid
HIST-000356,CUS-0135,2026-06-02,2026-07-17,26626.82,45,paid
HIST-000357,CUS-0118,2025-11-02,2025-12-02,48321.9,30,paid
HIST-000358,CUS-0038,2025-11-06,2025-12-21,31770.41,45,paid
HIST-000359,CUS-0044,2025-11-16,2025-12-31,14529.37,45,paid
HIST-000360,CUS-0159,2025-05-03,2025-05-18,81989.94,15,paid
HIST-000361,CUS-0014,2025-08-28,2025-09-27,24848.87,30,paid
HIST-000362,CUS-0090,2025-07-19,2025-09-17,30213.96,60,paid
HIST-000363,CUS-0140,2025-08-10,2025-09-09,50948.89,30,paid
HIST-000364,CUS-0086,2025-12-25,2026-01-09,16080.36,15,paid
HIST-000365,CUS-0061,2026-01-25,2026-02-24,59756.49,30,paid
HIST-000366,CUS-0007,2026-04-19,2026-05-19,20963.92,30,paid
