payment_id,invoice_id,payment_date,amount_usd,days_late
PAY-000681,HIST-000681,2025-05-16,91519.22,23
PAY-000111,HIST-000111,2025-05-16,24227.62,25
PAY-004178,HIST-004178,2025-05-16,40848.16,15
PAY-000977,HIST-000977,2025-05-16,85288.84,9
PAY-002484,HIST-002484,2025-05-16,17657.08,35
PAY-003144,HIST-003144,2025-05-17,15150.36,20
PAY-000903,HIST-000903,2025-05-17,54662.92,7
PAY-003274,HIST-003274,2025-05-17,69282.64,11
PAY-001300,HIST-001300,2025-05-17,15103.06,12
PAY-004032,HIST-004032,2025-05-17,29238.73,27
PAY-001344,HIST-001344,2025-05-17,149920.39,11
PAY-001374,HIST-001374,2025-05-17,14694.11,6
PAY-004710,HIST-004710,2025-05-17,23654.14,16
PAY-002345,HIST-002345,2025-05-17,67537.41,11
PAY-003765,HIST-003765,2025-05-17,42530.46,14
PAY-000661,HIST-000661,2025-05-18,35058.09,30
PAY-002347,HIST-002347,2025-05-18,36959.64,13
PAY-002602,HIST-002602,2025-05-18,24593.92,41
PAY-000194,HIST-000194,2025-05-18,26343.11,9
PAY-001530,HIST-001530,2025-05-18,41042.97,19
PAY-002006,HIST-002006,2025-05-18,223404.74,31
PAY-003651,HIST-003651,2025-05-19,79966.27,10
PAY-001634,HIST-001634,2025-05-19,50931.51,15
PAY-001759,HIST-001759,2025-05-19,52689.29,30
PAY-004325,HIST-004325,2025-05-19,17544.07,9
PAY-003901,HIST-003901,2025-05-19,16943.9,29
PAY-004060,HIST-004060,2025-05-19,11726.3,8
PAY-003911,HIST-003911,2025-05-19,14133.47,21
PAY-002311,HIST-002311,2025-05-19,69394.75,23
PAY-001244,HIST-001244,2025-05-19,7894.8,29
PAY-004144,HIST-004144,2025-05-19,82993.27,34
PAY-004753,HIST-004753,2025-05-19,25703.15,21
PAY-004113,HIST-004113,2025-05-20,135485.79,28
PAY-001193,HIST-001193,2025-05-20,18536.53,8
PAY-003230,HIST-003230,2025-05-20,95460.69,17
PAY-003384,HIST-003384,2025-05-20,30063.92,41
PAY-001098,HIST-001098,2025-05-20,26819.17,5
PAY-003866,HIST-003866,2025-05-20,31516.44,8
PAY-003208,HIST-003208,2025-05-20,17178.58,23
PAY-003877,HIST-003877,2025-05-20,50968.08,27
PAY-002157,HIST-002157,2025-05-20,19369.48,11
PAY-001967,HIST-001967,2025-05-21,52762.25,27
PAY-003219,HIST-003219,2025-05-21,77086.7,23
PAY-003767,HIST-003767,2025-05-21,49478.55,-5
PAY-000109,HIST-000109,2025-05-21,72816.87,8
PAY-004263,HIST-004263,2025-05-21,30321.6,27
PAY-000014,HIST-000014,2025-05-21,28112.47,4
PAY-003768,HIST-003768,2025-05-21,43774.13,16
PAY-000894,HIST-000894,2025-05-21,19333.39,27
PAY-001954,HIST-001954,2025-05-21,7572.47,13
PAY-004562,HIST-004562,2025-05-21,117885.57,28
PAY-002601,HIST-002601,2025-05-22,46378.37,16
PAY-002291,HIST-002291,2025-05-22,11572.19,13
PAY-003486,HIST-003486,2025-05-23,72146.37,32
PAY-004419,HIST-004419,2025-05-23,39925.71,9
PAY-003220,HIST-003220,2025-05-23,43973.5,0
PAY-004728,HIST-004728,2025-05-23,13904.46,32
PAY-001433,HIST-001433,2025-05-23,59149.51,3
PAY-003528,HIST-003528,2025-05-23,110562.16,12
PAY-002847,HIST-002847,2025-05-23,22930.81,13
PAY-002424,HIST-002424,2025-05-23,33078.27,43
PAY-004284,HIST-004284,2025-05-23,37394.09,-1
PAY-001010,HIST-001010,2025-05-24,66867.96,17
PAY-004614,HIST-004614,2025-05-24,41056.36,26
PAY-001680,HIST-001680,2025-05-24,72633.19,13
PAY-004519,HIST-004519,2025-05-24,45485.14,17
PAY-002096,HIST-002096,2025-05-24,60557.42,28
PAY-003856,HIST-003856,2025-05-24,20675.3,11
PAY-000686,HIST-000686,2025-05-24,29475.95,0
PAY-001286,HIST-001286,2025-05-24,55807.16,28
PAY-002121,HIST-002121,2025-05-24,21821.21,20
PAY-001899,HIST-001899,2025-05-25,43633.3,18
PAY-000216,HIST-000216,2025-05-25,15718.06,28
PAY-002903,HIST-002903,2025-05-25,45590.78,30
PAY-002310,HIST-002310,2025-05-25,87990.08,41
PAY-004164,HIST-004164,2025-05-25,19245.76,26
PAY-004665,HIST-004665,2025-05-25,59721.88,1
PAY-001520,HIST-001520,2025-05-25,19531.0,39
PAY-001974,HIST-001974,2025-05-26,86696.36,27
PAY-002592,HIST-002592,2025-05-26,19348.49,15
PAY-001292,HIST-001292,2025-05-26,53757.71,10
PAY-001756,HIST-001756,2025-05-26,55525.27,31
PAY-002992,HIST-002992,2025-05-26,18252.87,29
PAY-001415,HIST-001415,2025-05-26,80266.13,25
PAY-001361,HIST-001361,2025-05-26,77992.77,30
PAY-004104,HIST-004104,2025-05-26,17083.13,11
PAY-003814,HIST-003814,2025-05-26,26467.49,26
PAY-001435,HIST-001435,2025-05-26,31964.23,13
PAY-000119,HIST-000119,2025-05-26,40579.56,32
PAY-003042,HIST-003042,2025-05-27,122079.8,41
PAY-001989,HIST-001989,2025-05-27,31567.66,25
PAY-001783,HIST-001783,2025-05-27,104028.65,-4
PAY-001958,HIST-001958,2025-05-27,87031.95,14
PAY-001015,HIST-001015,2025-05-27,12559.79,11
PAY-000764,HIST-000764,2025-05-27,117423.5,30
PAY-000826,HIST-000826,2025-05-28,27916.12,42
PAY-001853,HIST-001853,2025-05-28,33321.21,18
PAY-003448,HIST-003448,2025-05-28,36482.96,30
PAY-000947,HIST-000947,2025-05-28,169588.96,39
PAY-002713,HIST-002713,2025-05-28,19692.2,21
PAY-004246,HIST-004246,2025-05-28,21268.61,23
PAY-002292,HIST-002292,2025-05-29,25420.43,33
PAY-003456,HIST-003456,2025-05-29,27039.65,39
PAY-000529,HIST-000529,2025-05-29,73468.54,21
PAY-003786,HIST-003786,2025-05-29,63345.6,16
PAY-000193,HIST-000193,2025-05-29,99611.35,14
PAY-000169,HIST-000169,2025-05-29,51592.53,18
PAY-000613,HIST-000613,2025-05-29,25618.31,9
PAY-003960,HIST-003960,2025-05-29,77842.75,8
PAY-001403,HIST-001403,2025-05-30,16451.66,28
PAY-003124,HIST-003124,2025-05-30,45931.6,9
PAY-003321,HIST-003321,2025-05-30,49158.87,32
PAY-000090,HIST-000090,2025-05-30,128098.8,37
PAY-000827,HIST-000827,2025-05-30,78649.39,21
PAY-003750,HIST-003750,2025-05-30,120791.8,12
PAY-004492,HIST-004492,2025-05-30,17779.35,28
PAY-001862,HIST-001862,2025-05-31,25673.02,38
PAY-002490,HIST-002490,2025-05-31,25803.63,16
PAY-001014,HIST-001014,2025-05-31,51756.4,18
PAY-000427,HIST-000427,2025-05-31,38188.5,18
PAY-001013,HIST-001013,2025-05-31,57833.17,45
PAY-003086,HIST-003086,2025-05-31,18868.75,30
PAY-000122,HIST-000122,2025-05-31,12240.19,33
PAY-003868,HIST-003868,2025-05-31,251332.39,24
PAY-000763,HIST-000763,2025-05-31,131359.72,22
PAY-003998,HIST-003998,2025-06-01,26917.81,11
PAY-001210,HIST-001210,2025-06-01,43874.33,11
PAY-000383,HIST-000383,2025-06-01,23124.86,6
PAY-000423,HIST-000423,2025-06-01,42004.07,15
PAY-004444,HIST-004444,2025-06-01,116512.07,26
PAY-000569,HIST-000569,2025-06-01,18611.21,6
PAY-001539,HIST-001539,2025-06-01,57474.54,27
PAY-003530,HIST-003530,2025-06-01,25833.65,29
PAY-001241,HIST-001241,2025-06-01,16788.39,13
PAY-004327,HIST-004327,2025-06-01,28744.55,25
PAY-001168,HIST-001168,2025-06-01,31560.03,33
PAY-000546,HIST-000546,2025-06-01,184826.09,15
PAY-003617,HIST-003617,2025-06-01,22464.73,2
PAY-000534,HIST-000534,2025-06-02,37045.92,16
PAY-001208,HIST-001208,2025-06-02,166981.3,8
PAY-002244,HIST-002244,2025-06-02,42137.68,12
PAY-002256,HIST-002256,2025-06-02,86340.45,7
PAY-003673,HIST-003673,2025-06-02,21475.62,50
PAY-000726,HIST-000726,2025-06-02,25545.1,35
PAY-002271,HIST-002271,2025-06-02,23345.54,26
PAY-003223,HIST-003223,2025-06-02,35043.33,42
PAY-000941,HIST-000941,2025-06-02,42784.96,19
PAY-003902,HIST-003902,2025-06-02,72765.99,10
PAY-000913,HIST-000913,2025-06-02,36779.94,16
PAY-000523,HIST-000523,2025-06-02,35313.52,39
PAY-001218,HIST-001218,2025-06-03,186016.59,17
PAY-004558,HIST-004558,2025-06-03,105579.8,32
PAY-001554,HIST-001554,2025-06-03,18290.52,5
PAY-003702,HIST-003702,2025-06-03,189849.43,21
PAY-003258,HIST-003258,2025-06-03,23881.67,15
PAY-001422,HIST-001422,2025-06-03,15089.17,17
PAY-000857,HIST-000857,2025-06-03,70015.5,20
PAY-003609,HIST-003609,2025-06-04,16123.16,11
PAY-000614,HIST-000614,2025-06-04,37392.07,22
PAY-001442,HIST-001442,2025-06-04,67013.57,19
PAY-001127,HIST-001127,2025-06-04,132028.28,27
PAY-002778,HIST-002778,2025-06-04,18494.82,-1
PAY-004252,HIST-004252,2025-06-04,158134.26,34
PAY-003913,HIST-003913,2025-06-04,47278.63,19
PAY-003652,HIST-003652,2025-06-04,67226.45,-2
PAY-000222,HIST-000222,2025-06-04,91563.43,19
PAY-004686,HIST-004686,2025-06-04,52114.61,26
PAY-000982,HIST-000982,2025-06-04,47424.85,14
PAY-000200,HIST-000200,2025-06-04,109687.52,9
PAY-000694,HIST-000694,2025-06-05,16234.88,32
PAY-001151,HIST-001151,2025-06-05,199434.21,36
PAY-000473,HIST-000473,2025-06-05,76968.23,9
PAY-000254,HIST-000254,2025-06-05,196909.16,32
PAY-000715,HIST-000715,2025-06-05,38026.04,6
PAY-000384,HIST-000384,2025-06-05,55854.29,-1
PAY-001892,HIST-001892,2025-06-05,99270.59,6
PAY-001647,HIST-001647,2025-06-05,50337.99,10
PAY-001983,HIST-001983,2025-06-05,23087.0,10
PAY-004415,HIST-004415,2025-06-05,25841.26,31
PAY-000331,HIST-000331,2025-06-05,19879.44,26
PAY-004299,HIST-004299,2025-06-05,60114.09,-2
PAY-000161,HIST-000161,2025-06-05,50182.99,24
PAY-000273,HIST-000273,2025-06-05,20829.21,22
PAY-001505,HIST-001505,2025-06-05,43637.91,39
PAY-004258,HIST-004258,2025-06-06,111081.88,19
PAY-001668,HIST-001668,2025-06-06,107229.76,35
PAY-001769,HIST-001769,2025-06-06,13877.76,6
PAY-001785,HIST-001785,2025-06-06,12454.42,39
PAY-004719,HIST-004719,2025-06-06,29076.39,37
PAY-000185,HIST-000185,2025-06-06,56961.84,19
PAY-002151,HIST-002151,2025-06-06,288005.02,45
PAY-002957,HIST-002957,2025-06-06,48530.69,16
PAY-002979,HIST-002979,2025-06-07,18576.1,9
PAY-003177,HIST-003177,2025-06-07,61255.73,37
PAY-004074,HIST-004074,2025-06-07,32672.87,32
PAY-003210,HIST-003210,2025-06-07,26152.03,8
PAY-003318,HIST-003318,2025-06-07,48025.38,22
PAY-001760,HIST-001760,2025-06-07,65422.39,38
PAY-001472,HIST-001472,2025-06-07,16885.71,11
PAY-002358,HIST-002358,2025-06-08,13764.31,7
PAY-001810,HIST-001810,2025-06-08,46681.51,30
PAY-000890,HIST-000890,2025-06-08,149405.17,28
PAY-003952,HIST-003952,2025-06-08,15041.93,14
PAY-001994,HIST-001994,2025-06-08,20924.23,10
PAY-001970,HIST-001970,2025-06-08,93109.92,39
PAY-000449,HIST-000449,2025-06-08,38660.77,38
PAY-002030,HIST-002030,2025-06-08,40481.27,53
PAY-003115,HIST-003115,2025-06-08,47727.71,11
PAY-003596,HIST-003596,2025-06-08,52510.92,36
PAY-004227,HIST-004227,2025-06-08,61315.11,14
PAY-003370,HIST-003370,2025-06-08,78125.94,18
PAY-000309,HIST-000309,2025-06-09,42541.27,25
PAY-000761,HIST-000761,2025-06-09,54383.46,24
PAY-003082,HIST-003082,2025-06-09,38075.62,21
PAY-001446,HIST-001446,2025-06-09,63102.38,4
PAY-000140,HIST-000140,2025-06-09,41823.72,13
PAY-004749,HIST-004749,2025-06-09,183727.63,29
PAY-003920,HIST-003920,2025-06-09,10185.56,9
PAY-002414,HIST-002414,2025-06-09,248747.67,23
PAY-003132,HIST-003132,2025-06-09,51458.26,23
PAY-000298,HIST-000298,2025-06-09,31364.81,10
PAY-004461,HIST-004461,2025-06-10,15002.17,19
PAY-000530,HIST-000530,2025-06-10,79246.54,9
PAY-000935,HIST-000935,2025-06-10,24552.23,29
PAY-002449,HIST-002449,2025-06-10,44925.61,27
PAY-000405,HIST-000405,2025-06-10,236169.44,16
PAY-003461,HIST-003461,2025-06-10,96773.77,31
PAY-000174,HIST-000174,2025-06-10,74961.59,9
PAY-000068,HIST-000068,2025-06-10,42906.84,10
PAY-002555,HIST-002555,2025-06-11,50249.77,27
PAY-003905,HIST-003905,2025-06-11,57745.23,20
PAY-001054,HIST-001054,2025-06-11,17507.84,20
PAY-001579,HIST-001579,2025-06-11,88623.12,37
PAY-003249,HIST-003249,2025-06-11,80141.51,20
PAY-003407,HIST-003407,2025-06-11,16565.43,17
PAY-001451,HIST-001451,2025-06-11,93720.25,10
PAY-001382,HIST-001382,2025-06-11,37294.82,31
PAY-003837,HIST-003837,2025-06-11,51724.02,33
PAY-003371,HIST-003371,2025-06-11,71254.01,35
PAY-000804,HIST-000804,2025-06-11,37816.04,12
PAY-002590,HIST-002590,2025-06-11,11296.6,45
PAY-000304,HIST-000304,2025-06-11,72620.53,35
PAY-001858,HIST-001858,2025-06-12,601549.05,31
PAY-003277,HIST-003277,2025-06-12,17161.9,-5
PAY-004553,HIST-004553,2025-06-12,55577.14,19
PAY-002460,HIST-002460,2025-06-12,17819.82,18
PAY-002242,HIST-002242,2025-06-12,7714.99,23
PAY-003064,HIST-003064,2025-06-12,82655.61,43
PAY-001026,HIST-001026,2025-06-12,33960.3,29
PAY-002993,HIST-002993,2025-06-12,51243.05,44
PAY-002835,HIST-002835,2025-06-12,8863.14,21
PAY-002143,HIST-002143,2025-06-12,28446.33,33
PAY-000918,HIST-000918,2025-06-12,30534.29,13
PAY-001180,HIST-001180,2025-06-12,37631.62,14
PAY-004275,HIST-004275,2025-06-13,18661.56,15
PAY-000835,HIST-000835,2025-06-13,68641.57,3
PAY-003592,HIST-003592,2025-06-13,70638.6,22
PAY-003716,HIST-003716,2025-06-13,16975.41,19
PAY-000471,HIST-000471,2025-06-13,38643.07,3
PAY-002716,HIST-002716,2025-06-13,18787.73,44
PAY-001303,HIST-001303,2025-06-13,24321.62,19
PAY-002920,HIST-002920,2025-06-14,115774.12,51
PAY-004322,HIST-004322,2025-06-14,75850.57,30
PAY-002609,HIST-002609,2025-06-14,41387.67,0
PAY-001029,HIST-001029,2025-06-14,60924.4,35
PAY-003433,HIST-003433,2025-06-14,50132.59,17
PAY-000951,HIST-000951,2025-06-14,30218.62,5
PAY-002258,HIST-002258,2025-06-15,19821.09,38
PAY-004166,HIST-004166,2025-06-15,37157.53,26
PAY-003113,HIST-003113,2025-06-15,32625.65,31
PAY-002409,HIST-002409,2025-06-15,27054.47,21
PAY-001434,HIST-001434,2025-06-15,27510.35,15
PAY-003855,HIST-003855,2025-06-15,13086.93,25
PAY-002655,HIST-002655,2025-06-15,33442.02,3
PAY-004494,HIST-004494,2025-06-15,42996.69,31
PAY-004354,HIST-004354,2025-06-15,31462.42,7
PAY-002557,HIST-002557,2025-06-15,30437.05,32
PAY-004504,HIST-004504,2025-06-16,44505.54,1
PAY-004731,HIST-004731,2025-06-16,57472.15,23
PAY-000441,HIST-000441,2025-06-16,16603.94,22
PAY-000062,HIST-000062,2025-06-16,25401.88,13
PAY-002147,HIST-002147,2025-06-16,212164.42,20
PAY-003036,HIST-003036,2025-06-16,46202.67,9
PAY-002253,HIST-002253,2025-06-16,114326.49,33
PAY-002554,HIST-002554,2025-06-16,18426.99,13
PAY-001766,HIST-001766,2025-06-16,17851.48,17
PAY-001939,HIST-001939,2025-06-16,63141.77,27
PAY-001889,HIST-001889,2025-06-17,34538.59,11
PAY-001473,HIST-001473,2025-06-17,46902.44,27
PAY-003801,HIST-003801,2025-06-17,44869.36,8
PAY-004140,HIST-004140,2025-06-17,60292.42,21
PAY-001249,HIST-001249,2025-06-17,39951.46,30
PAY-003753,HIST-003753,2025-06-17,52728.58,34
PAY-004011,HIST-004011,2025-06-17,33592.45,45
PAY-000510,HIST-000510,2025-06-17,48746.39,25
PAY-001320,HIST-001320,2025-06-17,19834.34,39
PAY-003736,HIST-003736,2025-06-17,18827.37,30
PAY-002619,HIST-002619,2025-06-17,93165.21,40
PAY-001879,HIST-001879,2025-06-17,35763.06,24
PAY-000175,HIST-000175,2025-06-18,22601.32,36
PAY-004078,HIST-004078,2025-06-18,103415.46,20
PAY-000347,HIST-000347,2025-06-18,8701.36,35
PAY-003083,HIST-003083,2025-06-18,96538.3,27
PAY-002447,HIST-002447,2025-06-18,24627.87,34
PAY-000861,HIST-000861,2025-06-18,26808.94,32
PAY-002461,HIST-002461,2025-06-18,226940.62,23
PAY-004208,HIST-004208,2025-06-18,68539.14,24
PAY-001574,HIST-001574,2025-06-18,199986.24,-4
PAY-001545,HIST-001545,2025-06-18,47973.11,21
PAY-002327,HIST-002327,2025-06-18,37669.75,27
PAY-002440,HIST-002440,2025-06-19,32998.9,29
PAY-004549,HIST-004549,2025-06-19,20018.8,31
PAY-000993,HIST-000993,2025-06-19,122355.8,20
PAY-002939,HIST-002939,2025-06-19,43054.63,26
PAY-001519,HIST-001519,2025-06-19,19849.35,62
PAY-004041,HIST-004041,2025-06-19,145148.22,-1
PAY-004392,HIST-004392,2025-06-19,19315.36,27
PAY-003543,HIST-003543,2025-06-19,154729.57,13
PAY-002068,HIST-002068,2025-06-19,69185.42,35
PAY-003417,HIST-003417,2025-06-19,109199.93,27
PAY-004515,HIST-004515,2025-06-19,28347.66,0
PAY-004264,HIST-004264,2025-06-19,60413.4,17
PAY-003434,HIST-003434,2025-06-19,44812.5,21
PAY-002473,HIST-002473,2025-06-20,59585.76,41
PAY-004732,HIST-004732,2025-06-20,128648.58,35
PAY-002967,HIST-002967,2025-06-20,33957.34,31
PAY-001687,HIST-001687,2025-06-20,12253.52,20
PAY-000803,HIST-000803,2025-06-20,39854.66,55
PAY-004223,HIST-004223,2025-06-20,29090.47,6
PAY-001165,HIST-001165,2025-06-20,19082.2,21
PAY-000060,HIST-000060,2025-06-20,35724.47,35
PAY-001898,HIST-001898,2025-06-20,37528.68,52
PAY-000020,HIST-000020,2025-06-20,130724.68,22
PAY-000323,HIST-000323,2025-06-20,29409.77,17
PAY-002563,HIST-002563,2025-06-20,182411.03,16
PAY-004527,HIST-004527,2025-06-21,27298.31,44
PAY-004786,HIST-004786,2025-06-21,18946.16,10
PAY-003654,HIST-003654,2025-06-21,36075.23,49
PAY-004057,HIST-004057,2025-06-21,16853.58,14
PAY-003633,HIST-003633,2025-06-21,40650.88,8
PAY-004455,HIST-004455,2025-06-21,32625.69,32
PAY-002159,HIST-002159,2025-06-21,59863.61,33
PAY-003310,HIST-003310,2025-06-21,37316.22,6
PAY-003225,HIST-003225,2025-06-21,254082.44,11
PAY-002137,HIST-002137,2025-06-21,31861.25,29
PAY-000876,HIST-000876,2025-06-21,28360.22,31
PAY-003879,HIST-003879,2025-06-21,36195.57,8
PAY-003313,HIST-003313,2025-06-21,26243.43,15
PAY-001009,HIST-001009,2025-06-22,26853.67,17
PAY-001558,HIST-001558,2025-06-22,21214.92,-5
PAY-001469,HIST-001469,2025-06-22,20643.41,17
PAY-001744,HIST-001744,2025-06-22,66386.04,18
PAY-002331,HIST-002331,2025-06-22,62870.81,6
PAY-003641,HIST-003641,2025-06-22,30952.96,-3
PAY-002458,HIST-002458,2025-06-22,33320.85,25
PAY-000418,HIST-000418,2025-06-22,52634.59,38
PAY-001458,HIST-001458,2025-06-22,22103.69,-2
PAY-004656,HIST-004656,2025-06-22,47656.55,16
PAY-000030,HIST-000030,2025-06-22,28947.9,34
PAY-003923,HIST-003923,2025-06-23,67757.77,26
PAY-003957,HIST-003957,2025-06-23,151183.68,41
PAY-000339,HIST-000339,2025-06-23,130756.72,9
PAY-003726,HIST-003726,2025-06-23,46451.59,9
PAY-003478,HIST-003478,2025-06-23,276757.0,34
PAY-000949,HIST-000949,2025-06-23,60506.99,45
PAY-000741,HIST-000741,2025-06-23,43481.25,-5
PAY-001553,HIST-001553,2025-06-23,50616.51,39
PAY-001713,HIST-001713,2025-06-23,93266.57,47
PAY-000388,HIST-000388,2025-06-23,17764.35,35
PAY-001841,HIST-001841,2025-06-23,20140.41,21
PAY-001900,HIST-001900,2025-06-23,39057.54,17
PAY-002169,HIST-002169,2025-06-23,131906.67,17
PAY-002178,HIST-002178,2025-06-23,11328.51,14
PAY-001546,HIST-001546,2025-06-23,74050.42,40
PAY-002912,HIST-002912,2025-06-23,81784.91,6
PAY-000063,HIST-000063,2025-06-23,73028.86,53
PAY-002517,HIST-002517,2025-06-24,46409.84,16
PAY-004009,HIST-004009,2025-06-24,21708.0,18
PAY-000528,HIST-000528,2025-06-24,114157.13,58
PAY-003987,HIST-003987,2025-06-24,20855.64,20
PAY-002606,HIST-002606,2025-06-24,95425.85,23
PAY-004028,HIST-004028,2025-06-24,58276.76,58
PAY-002669,HIST-002669,2025-06-24,45921.04,30
PAY-004466,HIST-004466,2025-06-24,38620.98,27
PAY-000727,HIST-000727,2025-06-24,30194.69,34
PAY-002219,HIST-002219,2025-06-24,47177.18,24
PAY-003057,HIST-003057,2025-06-24,40110.07,14
PAY-002380,HIST-002380,2025-06-24,10286.27,38
PAY-003738,HIST-003738,2025-06-24,127933.98,37
PAY-002962,HIST-002962,2025-06-24,35916.04,4
PAY-000769,HIST-000769,2025-06-25,174149.71,13
PAY-004066,HIST-004066,2025-06-25,121943.34,30
PAY-001178,HIST-001178,2025-06-25,9756.03,17
